tournament_id	year	tournament_name	tournament_type	tournament_kind	organizer	matches	from	to
2813	2018	2018 - World Tour, Hungarian Open, Budapest (HUN)	World Tour / Pro Tour	--	HUN	563	2018-01-18	2018-01-21
2882	2018	2018 - ITTF Europe Top 16 Cup, Montreux (SUI)	Continental	--	SUI	32	2018-02-03	2018-02-04
2835	2018	2018 - Oman Junior and Cadet Open, Muscat (OMA)	World Junior Circuit	Premium	OMA	574	2018-02-07	2018-02-11
2865	2018	2018 - YOG, Road to BA Europe, Hodonin (CZE)	Olympic Games	--	CZE	113	2018-02-12	2018-02-13
2840	2018	2018 - ITTF Junior Circuit Premium Czech Junior and Cadet Open, Hodonin (CZE)	World Junior Circuit	Premium	CZE	1534	2018-02-14	2018-02-18
2899	2018	2018 - Central American U15/U18 Championships, San Salvador (ESA)	Other events	--	ESA	275	2018-02-20	2018-02-23
2841	2018	2018 - ITTF Junior Circuit Swedish Junior and Cadet Open, Orebro (SWE)	World Junior Circuit	--	SWE	1119	2018-02-21	2018-02-25
2873	2018	2018 - Team World Cup, London (ENG)	World Cup	--	ENG	134	2018-02-22	2018-02-25
2893	2018	2018 - ITTF Africa Cup, Nairobi (KEN)	Continental	--	KEN	96	2018-03-01	2018-03-03
2900	2018	2018 - Latin American Championships, Havana (CUB)	Other events	--	CUB	236	2018-03-04	2018-03-09
2814	2018	2018 - World Tour, Qatar Open, Doha (QAT)	World Tour / Pro Tour	Platinum	QAT	339	2018-03-08	2018-03-11
2886	2018	2018 - European U21 Championships, Minsk (BLR)	Continental	--	BLR	319	2018-03-08	2018-03-11
2826	2018	2018 - ITTF Challenge Polish Open, Spala (POL)	Challenge	Challenge Series	POL	630	2018-03-14	2018-03-18
2891	2018	2018 - ITTF Oceania Championships, Gold Coast (AUS)	Continental	--	AUS	262	2018-03-15	2018-03-19
2842	2018	2018 - ITTF Junior Circuit Tunisia Junior and Cadet Open, Rades (TUN)	World Junior Circuit	--	TUN	854	2018-03-19	2018-03-23
2901	2018	2018 - South American Junior and Cadet Championships, Santiago (CHI)	Other events	--	CHI	464	2018-03-21	2018-03-25
2843	2018	2018 - ITTF Junior Circuit Premium Italian Junior and Cadet Open, Lignano (ITA)	World Junior Circuit	Premium	ITA	1156	2018-03-21	2018-03-25
2815	2018	2018 - World Tour, German Open, Bremen (GER)	World Tour / Pro Tour	Platinum	GER	462	2018-03-23	2018-03-25
2866	2018	2018 - YOG, Road to BA Africa, Rades (TUN)	Olympic Games	--	TUN	80	2018-03-24	2018-03-25
2827	2018	2018 - ITTF Challenge Spanish Open, Guadalajara (ESP)	Challenge	Challenge Series	ESP	430	2018-03-28	2018-04-01
2903	2018	2018 - Asian Junior & Cadet Championships Qualification Event- West Asia, Amman (JOR)	Continental	--	JOR		2018-03-29	2018-03-30
2844	2018	2018 - ITTF Junior Circuit Cote d'Ivoire Junior and Cadet Open, Abidjan (CIV)	World Junior Circuit	--	CIV	73	2018-04-01	2018-04-05
2913	2018	2018 - Caribbean Junior and Cadet Championships, Havana (CUB)	Other events	--	CUB	232	2018-04-02	2018-04-07
2828	2018	2018 - ITTF Challenge Slovenian Open, Otocec (SLO)	Challenge	Challenge Series	SLO	576	2018-04-04	2018-04-08
2906	2018	2018 - Commonwealth Games, Gold Coast (AUS)	Multi sport events	--	AUS		2018-04-04	2018-04-15
2887	2018	2018 - ITTF Asian Cup, Yokohama (JPN)	Continental	--	JPN	73	2018-04-06	2018-04-08
2912	2018	2018 - Opatija Milenij Open, Opatija (CRO)	Other events	--	CRO	246	2018-04-06	2018-04-08
2894	2018	2018 - African Junior & Cadet Championships, Abidjan (CIV)	Continental	--	CIV	372	2018-04-07	2018-04-13
2845	2018	2018 - ITTF Junior Circuit Paraguay Junior and Cadet Open, Asuncion (PAR)	World Junior Circuit	--	PAR	320	2018-04-09	2018-04-13
2829	2018	2018 - ITTF Challenge Croatia Open, Zagreb (CRO)	Challenge	Challenge Series	CRO	670	2018-04-10	2018-04-14
2867	2018	2018 - YOG, Road to BA Latin America, Asuncion (PAR)	Olympic Games	--	PAR		2018-04-14	2018-04-15
2846	2018	2018 - Belgium Junior and Cadet Open, Spa (BEL)	World Junior Circuit	--	BEL	437	2018-04-18	2018-04-22
2904	2018	2018 - Asian Junior & Cadet Championships Qualification Event-East Asia, Ulaanbaatar (MGL)	Continental	--	MGL		2018-04-20	2018-04-21
2905	2018	2018 - Asian Junior & Cadet Championships Qualification Event-South Asia, Maldives (MDA)	Continental	--	MDA		2018-04-20	2018-04-22
2847	2018	2018 - ITTF Junior Circuit Premium French Junior and Cadet Open, Metz (FRA)	World Junior Circuit	Premium	FRA	1130	2018-04-25	2018-04-29
2915	2018	2018 - Memorial of A. Shkala Junior and Cadet Open Tournament, Minsk (BLR)	Other events	--	BLR	267	2018-04-27	2018-04-29
2876	2018	2018 - World Team Table Tennis Championships, Halmstad (SWE)	WTTC	--	SWE	1769	2018-04-29	2018-05-06
2868	2018	2018 - YOG, Road to BA Asia, Bangkok (THA)	Olympic Games	--	THA		2018-05-07	2018-05-08
2848	2018	2018 - ITTF Junior Circuit Spanish Junior and Cadet Open, Platja d'Aro (ESP)	World Junior Circuit	--	ESP	1004	2018-05-09	2018-05-13
2849	2018	2018 - ITTF Junior Circuit Golden Thailand Junior and Cadet Open, Bangkok (THA)	World Junior Circuit	Golden	THA	1021	2018-05-09	2018-05-13
2907	2018	2018 - Asian Junior & Cadet Championships Qualification Event-Middle Asia, Tehran (IRI)	Continental	--	IRI		2018-05-10	2018-05-11
2830	2018	2018 - ITTF Challenge Thailand Open, Bangkok (THA)	Challenge	Challenge Series	THA	531	2018-05-16	2018-05-20
2850	2018	2018 - Slovak Junior Open, Senec (SVK)	World Junior Circuit	--	SVK	625	2018-05-17	2018-05-20
2902	2018	2018 - ITTF Oceania Cup, Port Vila (VAN)	Continental	--	VAN	36	2018-05-18	2018-05-19
2851	2018	2018 - ITTF Junior Circuit Premium Polish Junior and Cadet Open, Wladyslawowo (POL)	World Junior Circuit	Premium	POL	1504	2018-05-23	2018-05-27
2816	2018	2018 - World Tour, Hong Kong Open, Hong Kong (HKG)	World Tour / Pro Tour	--	HKG	301	2018-05-24	2018-05-27
2908	2018	2018 - Central American Senior Championships, San Salvador (ESA)	Other events	--	ESA	162	2018-05-24	2018-05-27
2914	2018	2018 - Northern European Championships, Haapsalu (EST)	Other events	--	EST	152	2018-05-25	2018-05-27
2852	2018	2018 - Canadian Junior and Cadet Open, Markham (CAN)	World Junior Circuit	--	CAN	505	2018-05-28	2018-05-31
2817	2018	2018 - World Tour, China Open, Shenzhen (CHN)	World Tour / Pro Tour	Platinum	CHN	278	2018-05-31	2018-06-03
2869	2018	2018 - YOG, Road to BA North America, Markham (CAN)	Olympic Games	--	CAN		2018-06-01	2018-06-02
2916	2018	2018 - ITTF Oceania Junior Championships, Rarotonga (COK)	Continental	--	COK	236	2018-06-01	2018-06-02
2911	2018	2018 - South American Games, Cochabamba (BOL)	Multi sport events	--	BOL	259	2018-06-01	2018-06-08
2853	2018	2018 - ITTF Junior Circuit Cook Islands Junior and Cadet Open, Rarotonga (COK)	World Junior Circuit	--	COK	244	2018-06-04	2018-06-07
2818	2018	2018 - World Tour, Japan Open, Kitakyushu (JPN)	World Tour / Pro Tour	--	JPN	221	2018-06-07	2018-06-10
2870	2018	2018 - YOG, Road to BA Oceania, Rarotonga (COK)	Olympic Games	--	COK		2018-06-08	2018-06-09
2831	2018	2018 - ITTF Challenge DPR Korea Open, Pyongyang (PRK)	Challenge	Challenge Series	PRK	166	2018-06-13	2018-06-17
2896	2018	2018 - ITTF Panam Cup, Asuncion (PAR)	Continental	--	PAR	40	2018-06-15	2018-06-17
2918	2018	2018 - 8th Lithuanian Cadet and Mini Cadet Open, Vilnius (LTU)	Other events	--	LTU	158	2018-06-15	2018-06-17
2922	2018	2018 - Mediterranean Games, Tarragona (ESP)	Multi sport events	--	ESP	279	2018-06-22	2018-07-01
2923	2018	2018 - Northern European Youth Championships, Haapsalu (EST)	Other events	--	EST	466	2018-06-26	2018-07-28
2854	2018	2018 - ITTF Junior Circuit Golden China Junior and Cadet Open, Taicang (CHN)	World Junior Circuit	Golden	CHN	497	2018-07-04	2018-07-08
2898	2018	2018 - ITTF Panam Junior Championships, Santo Domingo (DOM)	Continental	--	DOM	486	2018-07-10	2018-07-15
2883	2018	2018 - European Youth Championships, Cluj Napoca (ROU)	Continental	--	ROU	3518	2018-07-15	2018-07-24
2921	2018	2018 - African Youth Games, Algiers (ALG)	Multi sport events	--	ALG		2018-07-17	2018-07-27
2819	2018	2018 - World Tour, Korean Open, Daejeon (KOR)	World Tour / Pro Tour	Platinum	KOR	420	2018-07-19	2018-07-22
2920	2018	2018 - Central America and Caribbean Games, Baranquilla (COL)	Multi sport events	--	COL	299	2018-07-19	2018-07-24
2824	2018	2018 - World Tour, Australian Open, Geelong (AUS)	World Tour / Pro Tour	Platinum	AUS	232	2018-07-24	2018-07-29
2855	2018	2018 - ITTF Junior Circuit Jordan Junior and Cadet Open, Amman (JOR)	World Junior Circuit	--	JOR	766	2018-07-25	2018-07-29
2926	2018	2018 - Arab Table Tennis Championship, Cairo (EGY)	Other events	--	EGY	257	2018-07-30	2018-08-06
2856	2018	2018 - ITTF Junior Circuit Golden Hong Kong Junior and Cadet Open, Hong Kong (HKG)	World Junior Circuit	Golden	HKG	568	2018-08-01	2018-08-05
2925	2018	2018 - Latin American Cadet Championships, San Jose (CRC)	Other events	--	CRC	334	2018-08-07	2018-08-12
2832	2018	2018 - Seamaster Nigeria Open, Lagos (NGR)	Challenge	Challenge Series	NGR	333	2018-08-08	2018-08-12
2927	2018	2018 - Asian Junior & Cadet Championships, Nay Pyi Taw (MYA)	Continental	--	MYA	643	2018-08-13	2018-08-18
2857	2018	2018 - ITTF Junior Circuit El Salvador Junior and Cadet Open, San Salvador (ESA)	World Junior Circuit	--	ESA	723	2018-08-15	2018-08-19
2820	2018	2018 - World Tour, Bulgarian Open, Panagyurishte (BUL)	World Tour / Pro Tour	--	BUL	420	2018-08-16	2018-08-19
2802	2018	2018 - Asian Games, Jakarta (INA)	Continental Games	--	INA	393	2018-08-18	2018-09-02
2858	2018	2018 - ITTF Junior Circuit Golden Chinese Taipei Junior and Cadet Open, Taipei (TPE)	World Junior Circuit	Golden	TPE	872	2018-08-22	2018-08-26
2821	2018	2018 - World Tour, Czech Open, Olomouc (CZE)	World Tour / Pro Tour	--	CZE	469	2018-08-23	2018-08-26
2895	2018	2018 - ITTF African Championships, Port Louis (MRI)	Continental	--	MRI	360	2018-09-03	2018-09-09
2930	2018	2018 - Luxembourg Open, Luxembourg (LUX)	Other events	--	LUX	251	2018-09-05	2018-09-08
2884	2018	2018 - Europe Youth Top 10, Vila Real (POR)	Other events	--	POR	180	2018-09-07	2018-09-09
2859	2018	2018 - ITTF Junior Circuit Premium Croatia Junior and Cadet Open, Varazdin (CRO)	World Junior Circuit	Premium	CRO	1373	2018-09-12	2018-09-16
2885	2018	2018 - ITTF European Championships, Alicante (ESP)	Continental	--	ESP	557	2018-09-18	2018-09-23
2860	2018	2018 - ITTF Junior Circuit Serbia Junior and Cadet Open, Belgrade (SRB)	World Junior Circuit	--	SRB	1087	2018-09-19	2018-09-23
2931	2018	2018 - Caribbean Senior Championships, Montego Bay (JAM)	Other events	--	JAM	222	2018-09-24	2018-09-29
2874	2018	2018 - Women's World Cup, Chengdu (CHN)	World Cup	--	CHN	28	2018-09-28	2018-09-30
2798	2018	2018 - Youth Olympic Games, Buenos Aires (ARG)	Olympic Games	--	ARG	312	2018-10-06	2018-10-18
2875	2018	2018 - Men's World Cup, Paris (FRA)	World Cup	--	FRA	28	2018-10-19	2018-10-21
2833	2018	2018 - ITTF Challenge Belgium Open, De Haan (BEL)	Challenge	Challenge Series	BEL	600	2018-10-23	2018-10-27
2924	2018	2018 - ITTF World Cadet Challenge, Tottori (JPN)	World Cadet Challenge	--	JPN	466	2018-10-23	2018-10-31
2861	2018	2018 - ITTF Junior Circuit Egypt Junior and Cadet Open, Sharm El Sheikh (EGY)	World Junior Circuit	--	EGY	689	2018-10-24	2018-10-28
2823	2018	2018 - World Tour, Swedish Open, Stockholm (SWE)	World Tour / Pro Tour	--	SWE	447	2018-11-01	2018-11-04
2862	2018	2018 - Slovak Cadet Open, Bratislava (SVK)	World Junior Circuit	--	SVK	694	2018-11-02	2018-11-04
2822	2018	2018 - World Tour, Austrian Open, Linz (AUT)	World Tour / Pro Tour	Platinum	AUT	375	2018-11-06	2018-11-11
2863	2018	2018 - ITTF Junior Circuit Premium Hungarian Junior and Cadet Open, Szombathely (HUN)	World Junior Circuit	Premium	HUN	1496	2018-11-07	2018-11-11
